VARIABLE AA;LIBELLE ACTUEL;NOUVEAU LIBELLE;NOM TECHNIQUE;
prop16;Espace;Section du site - Niveau 1 (prop16);pages.espace;
prop9;Sous-espace (prop9);Section du site - Niveau 2 (prop9);pages.univers;
prop20;Fonctionnalité;Section du site - Niveau 3 (prop20);pages.fonctionnalite;
prop10;Sous-fonctionnalité (prop10);Section du site - Niveau 4 (prop10);pages.pageType;
evar50;Page (evar50);Nom de la page (evar50);pages.pageName;
prop6;Type Applicatif (prop6);Application ou Site (prop6);pages.applicationType;
prop70;Webview identification (prop70);Navigateur ou webview (prop70);ex_browser;
prop21;Nom du site et de l'application (prop21);Nom du site ou de l'application (prop21);pages.siteName;
prop7;Brique technique (prop7);Brique technique - Niveau 1 (prop7);pages.applicationName;
prop3;Sous brique technique (prop3);Brique technique - Niveau 2 (prop3);pages.applicationSubName;
prop13;Url de la page (prop13);;;
prop24;Mobile Service Type (Google/Huawei);Type d'Android (Google / Huawei) (prop24);pages.pageNameBeforeHDL;A mettre dans les variable de classif
evar139;app build (evar139);Application mobile : VERSION - BUILD (evar139);custom.profilUtilisateur;A mettre dans les variable de classif
prop35;Pagename avant retraitement HDL;Pagename avant retraitement Hosted Datalayer (prop35);;
prop54;Timestamp;Timestamp (prop54);;
prop73;Profil Tealium (prop73);Profil Tealium (prop73);custom.app_build;
evar122;Nom de l'application;Nom technique de l'application (evar122);custom.app_rdns;
prop5;Code réduit Etablissement de la page (prop5);Code Etablissement de la page (prop5);pages.CodeEnttGrpe;
prop5.libelle-code-etablissement-pag;Code réduit Etablissement de la page (prop5);Code et libellé Etablissement de la page (prop5);pages.CodeEnttGrpe;"Je ne trouve pas cette classif dans AA.
Le descriptif des valeurs est idem que celui de la variable. 
CG : classification coté BP mais pas coté CE…"
prop8;Marché de navigation (prop8);Marché de la page (prop8);pages.marche;
evar2;Id client (evar2);Id client (evar2);"clients.id (web)
clientid (app)";
prop2;Id Client (prop2);Id Client (prop2);"clients.id (web)
clientid (app)";
evar100;CRMID (evar100);;;
evar129;ID client personne physique connectée;ID Personne (evar129);visitor_context.codep;
evar21;Id client - consentement cookie (evar21);ID Client - consentement à la mesure d'audience individuelle (evar21);clients.clientid;
prop62;CRMID - consentement assistance personnalisée (prop62);CRMID - cconsentement à la mesure d'audience individuelle (prop62);;
evar45;ID client personne Physique connectée - consentement cookie (evar45);ID Personne - consentement à la mesure d'audience individuelle (evar45);processing rule;
evar1;Code etablissement client (evar1);Code etablissement client (evar1);clients.idEnttGrpe;Classif de l'evar ou de la prop ?  Trouvé pour la prop mais pour l'evar
prop1;Code Etablissement Client (prop1);Code Etablissement Client (prop1);clients.idEnttGrpe;
prop1.libelle.etablissement.client;Libellé établissement client (prop1) (Code établissement client (prop1));Libellé établissement client (prop1);clients.idEnttGrpe;Les variables du visitor context sont à mettre à jour
prop25;Code enseigne;Code enseigne (prop25);visitor_context.enseigne;
evar4;Marché client (evar4);;clients.marche;
prop4;Marché Client (prop4);;clients.marche;
evar146;Client - Statut juridique (evar146);;clients.sjur;
evar101;Client - Double Relation (evar101);;clients.drel;
evar102;Client - CASDEN (evar102);;clients.casd;
evar103;Client - Code NAF (evar103);;clients.cna;
evar104;Client - Age (evar104);;clients.bdy;
evar105;Client - Segmentation part (evar105);;"CE : clients.spart
BP : clients.sengpart";
evar106;Client - Segmentation pro (evar106);;clients.spro;
evar147;Client - Marché marketing précis MySys - CE uniquement (evar147);;clients.codem;
evar148;Client - Segmentation marketing PART individuelle (CICE/Activation) (evar148);;clients.spart2;
evar144;Client - Segmentation part : top vivier epargnant actif (evar144);;"clients.teparact
clients.tviv";
evar144.teparact;Clients - Top épargnant actif;;"clients.teparact
clients.tviv";
evar144.tviv;Clients - Top vivier;;"clients.teparact
clients.tviv";
evar149;Client - Segmentation marketing PART RB (CICE) - BP uniquement (evar149);;clients.spart2rb;
evar150;Client - Segmentation marketing PRO individuelle (CICE) - BP uniquement (evar150);;clients.spro2;
evar3;Clients - Detention produits clients (evar3);Clients - Detention produits clients (evar3);custom.agregation_clients;
evar3.clients-detention-credit-eudiant;Clients - Detention Credit etudiant (evar3);Clients - Detention Credit etudiant (evar3);;
evar3.clients-detention-compte-depot;Clients - Detention Compte de depot (evar3);Clients - Detention Compte de depot (evar3);;
evar3.clients-detention-credit-conso-travaux;Clients - Detention Credit Conso Travaux (evar3);Clients - Detention Credit Conso Travaux (evar3);;
evar3.clients-detention-credit-conso-auto;Clients - Detention Credit Conso Auto (evar3);Clients - Detention Credit Conso Auto (evar3);;
evar3.clients-detention-credit-conso-tresorerie;Clients - Detention Credit Conso Tresorerie (evar3);Clients - Detention Credit Conso Tresorerie (evar3);;
evar3.clients-detention-assurance-auto;Clients - Detention Assurance Auto (evar3);Clients - Detention Assurance Auto (evar3);;
evar3.clients-detention-assurance-habitation;Clients - Detention Assurance Habitation (evar3);Clients - Detention Assurance Habitation (evar3);;
evar3.clients-detention-assurance-vie;Clients - Detention Assurance Vie (evar3);Clients - Detention Assurance Vie (evar3);;
evar3.clients-detention-credit-immo;Clients - Detention Credit Immo (evar3);Clients - Detention Credit Immo (evar3);;
evar3.clients-detention-credit-pro;Clients - Detention Credit Pro (evar3);Clients - Detention Credit Pro (evar3);;
evar9;Client - Bancarise principal (evar9);Client - Bancarise principal (evar9);"visitor_context.mbank
datalayer.mbank";
evar35;Client - Actif bancaire part (evar35);Client - Actif bancaire part (evar35);custom.agregation_visitor_context;
evar36;Client - Actif bancaire pro (evar36);Client - Actif bancaire pro (evar36);custom.agregation_visitor_context;
evar37;Client - Actif bancaire ent (evar37);Client - Actif bancaire ent (evar37);custom.agregation_visitor_context;
evar69;Clients - Top abonnements clients (evar69);Clients - Top abonnements clients (evar69);"visitor_context.mbank
datalayer.mbank";
evar69.client-top-abonnement-part;Client - Top abonnement part (evar69);Client - Top abonnement part (evar69);;
evar69.client-top-abonnement-pro;Client - Top abonnement pro (evar69);Client - Top abonnement pro (evar69);;
evar69.client-top-abonnement-ent;Client - Top abonnement ent (evar69);Client - Top abonnement ent (evar69);;
evar118;Client - Detention Assurance vie (evar118);;clients.assv;
evar154;type abonnement;;visitor_context.cabo / clients.cabo ( variable spécifique au parcours turbo;
evar17;Profil d'abonnement (evar17);Profil d'abonnement (evar17);visitor_context.servab;
evar17.libelle-profil-dabonnement-eva;libellé profil d'abonnement (evar17);Libellé profil d'abonnement (evar17);;
evar66;Top Detention part (evar66);Top detention compte courant part (evar66);custom.topDetentionPart;
evar67;Top detention pro (evar67);Top detention courant pro (evar67);custopm.topDetentionPro;
evar62;Profil utilisateur (evar62);Profil utilisateur particulier | Porteur carte professionnel (evar62);custom.profilClient;
evar5;Libelle clic (evar5);Libellé du clic (evar5);clics.libelle;
evar6;Type de clic (evar6);Type de clic (evar6);clics.type;
event10;Événement de clic (event10);Clic effectué (event10);event.event_name;
prop14;Nom du formulaire (prop14);Formulaires - Nom du formulaire (prop14);form.nom;
evar14;Nom du formulaire (evar14);Formulaires - Nom du formulaire (prop14);form.nom;
event1;Début du formulaire (event1);Formulaires - Début du formulaire (event1);event.event_name;
event2;Fin du formulaire (event2);Formulaires - Fin du formulaire (event2);event.event_name;
evar182;Type entree parcours (evar182);Formulaires - Type entree parcours (evar182);custom.typeEntreeParcours;
evar181;Motif sortie parcours (evar181);Formulaires - Motif sortie parcours (evar181);custom.motifSortieParcours;
event33;Sortie du parcours (event33);Formulaires - Sortie du parcours (event33);event.event_name;
evar75;Type d'erreur (evar75);Type de l'erreur (evar75);custom.typeErreur;
event32;Erreur technique (event32);Erreur technique (event32);event.event_name;
event34;Erreur client (event34);Erreur client (event34);event.event_name;
evar79;libelle document (evar79);Libelle du document (evar79);custom.libelleTelechargement;
evar172;methode d'ajout document (evar172);Methode d'ajout document (evar172);custom.ajoutBeneficiaireMethode;
event61;Téléversement du document (event61);Upload du document (event61);event.event_name;
event60;Telechargement du document (event60);Download du document (event60);event.event_name;
evar90;Provenance (evar90);Parcours de provenance (evar90);custom.provenance;
evar51;Asset (evar51);Asset transverse (evar51);custom.asset;
event260;Signature dans widget de signature (event260);Signature dans widget de signature (event260);event.event_name;
event102;Reprise de parcours (event102);Reprise de parcours (event102);event.event_name;Ca va avec l'evar 46?
prop15;Identifiant etape Formulaire;Identifiant etape Formulaire (prop15);form.idEtape;
event33;Sortie du parcours (event33);Sortie du parcours (event33);event.event_name;Ca va avec l'evar181 ?
evar46;Parcours initial ou reprise (evar46);Parcours initial ou reprise (evar46);;
event155;Fin de souscription ;Fin de souscription (event155);event.event_name;
event161;Proposition validée (event161);Proposition validée (event161);event.event_name;
event162;Complétion formulaire assurance;Crédit conso - Complétion du formulaire assurance (event162);event.event_name;
event164;Simulation effectuée;Simulation effectuée (event164);event.event_name;
event38;Modification simulation (event38);Modification simulation (event38);event.event_name;
event160;Souscription assurance;Crédits - Souscription à l'assurance du crédit (event160);event.event_name;
evar40;Choix gbb (evar40);GBB - Critères du parcours (evar40);custom.agregation_gbb;
evar40.carte-choisie;Choix gbb (evar40);GBB - Carte choisie (evar40);custom.gbb_carteChoisie;
evar40.formule-choisie;Choix gbb (evar40);GBB - Formule choisie(evar40);custom.gbb_formuleChoisie;
evar40.statut-familial;Choix gbb (evar40);GBB - Statut familial (evar40);custom.gbb_soloFamille;
evar40.tranche-age;Choix gbb (evar40);GBB - tranche d'age (evar40);custom.gbb_trancheAge;
evar99;Option choix debit differe (evar99);Montée en gamme - débit différé oui ou non (evar99);custom.optionChoixDebitDiffere;
event263;Confirmation signature montee en gamme (event263);Montée en gamme - Confirmation signature montee en gamme (event263);event.event_name;
event304;Bancarisation ado : Renvoi vers EER mineur (event304);Bancarisation ado : Renvoi vers EER mineur (event304);event.event_name;
evar164;Type de vente;Initiative prospect ou conseiller (evar164);custom.typeVente;
evar59;Variable d'agregation eerd ei (evar59);EERD EI - critères du parcours (evar59);"custom.agregation_eerdEi
";
evar59.amp-pro;interêt assurance AMP pro (evar59);EERD EI - interêt assurance AMP pro (evar59);custom.eerdEi_AMP_PRO;
evar59.assurance-rc-pro;interêt assurance RC pro (evar59);EERD EI - interêt assurance RC pro (evar59);custom.eerdEi_ASS_RCPRO;
evar59.csp;Catégorie socio professionnelle (evar59);EERD EI - (evar59);custom.eerdEi_csp;
evar59.documentrecupere;Documents recupérés automatiquement (evar59);EERD EI - Docmuents récupérés automatiquement (evar59);custom.eerdEi_documentRecupere;
evar59.ipaidthat;interêt IPaidThat (evar59);EERD EI - interêt IPaidThat (evar59);custom.eerdEi_IPAIDTHAT;
evar59.iz-ecommerce;interêt IZ e-commerce (evar59);EERD EI - interêt IZ e-commerce (evar59);custom.eerdEi_IZ_E-COMMERCE;
evar59.tap-to-pay;interêt tap to pay (evar59);EERD EI - interêt tap to pay (evar59);custom.eerdEi_TAP_TO_PAY;
evar71;Email crypté (evar71);Email crypté (evar71);;
evar72;Télephone  crypté (evar72);Télephone  crypté (evar72);;
evar83;Hash (evar83);Prospects - Hash des informations prospects (evar83);custom.hash;
event156;Lead;Lead créé (event156);event.event_name;
evar18;Aggregation rachat credit immo (evar18);Crédit immo - Critères du parcours (evar18);custom.aggregationRachatImmo;
evar18.capital-restant;Crédit immo - Capital restant du  (evar18);Crédit immo - Capital restant du  (evar18);custom.creditImmo_capitalRestantDu;
evar18.client-bpce;Crédit immo - Etat de recherche du bien (evar18);Crédit immo - Etat de recherche du bien (evar18);custom.creditImmo_etatRecherche;
evar18.etablissement;Crédit immo - Etablissement adresse bien (evar18);Crédit immo - Etablissement adresse bien (evar18);custom.creditImmo_etablissement;
evar18.etat-de-recherche;Crédit immo - Client BPCE ou non (evar18);Crédit immo - Client BPCE ou non (evar18);custom.creditImmo_clientBPCE;
evar18.montant-financement;Crédit immo - Montant financement  (evar18);Crédit immo - Montant financement  (evar18);custom.creditImmo_montantFinancement;
evar18.presence-travaux;Crédit immo - Présence de travaux oui / non (evar18);Crédit immo - Présence de travaux oui / non (evar18);custom.creditImmo_presenceTravaux;
evar18.proposition-envoyee;Crédit immo - Proposition envoyée (evar18);Crédit immo - Proposition envoyée (evar18);custom.creditImmo_propositionEnvoyee;
evar18.ratio-apport;Crédit immo - Ratio apport (evar18);Crédit immo - Ratio apport (evar18);custom.creditImmo_ratioApport;
evar18.societaire-casden;Crédit immo - Sociétaire casden (evar18);Crédit immo - Sociétaire casden (evar18);custom.creditImmo_societaireCasden;
evar18.usage-bien;Crédit immo - Usage du bien  (evar18);Crédit immo - Usage du bien  (evar18);custom.creditImmo_usageBien;
evar68;Score souscription (evar68);Score de souscription (evar68);custom.score;
evar44;Critère conso aggregation (evar44);Simulation Simulation prêt personnel - critères du parcours (evar44);custom.aggregationConso;
evar44.categorie;Critère conso aggregation (evar44);Simulation prêt personnel -  Catégorie de l'emprunt(evar44);custom.simconso_categorie;
evar44.duree;Critère conso aggregation (evar44);Simulation prêt personnel -  Durée de l'emprunt (evar44);custom.simconso_duree;
evar44.mensualite;Critère conso aggregation (evar44);Simulation prêt personnel -  mensualité de remboursement (evar44);custom.simconso_mensualite;
evar44.montant;Critère conso aggregation (evar44);Simulation prêt personnel -  Montant emprunté (evar44);custom.simconso_montant;
evar44.sous-categorie;Critère conso aggregation (evar44);Simulation prêt personnel - Sous catégorie de l'emprunt (evar44);custom.simconso_sousCategorie;
prop75;Aggregation (prop75);Souscription prêt personnel - critères du parcours (prop75);custom.agregation;
evar8;Critère renouvelable aggregation (evar8);Simulation Crédit renouvelable - critères du parcours (evar8);custom.aggregationConso;
evar53;Ouverture livret agregation (evar53);Epargne selfcare - Critères du parcours (evar53);custom.agregation_ouvertureLivret;
evar53.compte-d-alimentation;Compte d'alimentation (Ouverture livret agregation);Epargne selfcare - Compte d'alimentation (evar53);custom.ouvertureLivret_compteAlimentation;
evar53.libelle-produit;Libellé produit (Ouverture livret agregation);Epargne selfcare - Libellé produit  (evar53);custom.ouvertureLivret_libelleProduit;
evar53.mise-en-place-virement-mensuel;Mise en place virement mensuel (Ouverture livret agregation);Epargne selfcare - Mise en place virement mensuel  (evar53);custom.ouvertureLivret_virementProgramme;
evar53.acceptation-communication-admi;Acceptation communication administration fiscale (Ouverture livret agregation);Epargne selfcare - Acceptation communication administration fiscale (evar53);custom.ouvertureLivret_communicationAdminFiscale;
evar53.autorisation.retrait.moins.16;Autorisation de retrait pour les moins de seize ans (Ouverture livret agregation);Epargne selfcare - Autorisation de retrait pour les moins de seize ans (evar53);custom.ouvertureLivret_autorisationRetraitMoinsSeizeAns;
evar53.autorisation.retrait.plus.16;Autorisation de retrait pour les plus de seize ans (Ouverture livret agregation);Epargne selfcare - Autorisation de retrait pour les plus de seize ans (evar53);custom.ouvertureLivret_autorisationRetraitPlusSeizeAns;
event261;Montant du virement initial (event261);Epargne selfcare - Montant du virement initial (event261);event.event_name;
event262;Montant du virement programmé (event262);Epargne selfcare - Montant du virement programmé (event262);event.event_name;
event287;Don confirmé depuis un LDDS;LDDS - Don confirmé depuis LDDS (event287);event.event_name;
event237;Confirmation signature livret (event237);Epargne Selfcare - Confirmation de souscription au livret (event237);event.event_name;
evar60;Agregration parrainage (evar60);Parrainage - critères du parcours (evar60);"custom.agregation_parrainage
";
evar60.lien-parrain;Lien parrain;Parrainage - lien parrain (evar60);custom.parrainage_lienParrain;
evar60.montant-prime-filleul;Montant de la prime du filleul;Parrainage - Montant prime filleul (evar60);custom.parrainage_montantPrimeFilleul;
evar60.montant-prime-parrain;Montant de la prime du parrain;Parrainage - Montant prime parrain (evar60);custom.parrainage_montantPrimeParrain;
