VARIABLE AA;LIBELLE ACTUEL;NOUVEAU LIBELLE;NOM TECHNIQUE;
event359;Modification adresse facturation (event359);C2P - Modification de l'adresse de facturation (event359);event.event_name;
evar145;type de comptes pour les virements emetteurs;Virement - Type de comptes pour les virements emetteurs (evar145);custom.typeDeCompteVirementEmetteur;
evar168;categorie de compte selectionne;Categorie de compte selectionne (evar168);custom.categorieDeCompteVirementSelectionne;
evar169;type de beneficiaire (evar169);Virement - Type de beneficiaire (evar169);custom.typeDeBeneficiaire;
evar170;categorie de virement;Virement - categorie de virement (evar170);custom.categorieVirement;
evar171;titulaire du compte beneficiare;Virement - Titulaire du compte beneficiare (evar171);custom.titulaireCompteBeneficiaire;
evar173;categorie de compte  virement emetteur ;Virement - Categorie de compte  virement emetteur  (evar173);custom.categorieDeCompteVirementEmetteur;
evar174;methode de virement (evar174);Virement - Méthode du virement (evar174);custom.methodeVirement;
evar23;Type de virement (evar23);Virement - Type de virement (evar23);custom.typeVirement;
evar24;Montant du virement (evar24);Virement - Montant du virement (evar24);custom.mntVirement;
evar87;Comptabilisation virement (eVar87);Virement - Comptabilisation virement (eVar87);custom.comptabilisationVirement;
event117;Nombre de virements Ok ;Virement - Nombre de virements Ok  (event117);event.event_name;
event118;Nombre de virements KO;Virement - Nombre de virements KO (event118);event.event_name;
event120;Nombre de continuation vers Transferwise;Virement - Nombre de continuation vers Transferwise (event120);event.event_name;
event135;Nombre de modification de virements;Virement - Nombre de modification de virements (event135);event.event_name;
event137;Nombre d'echec de scan automatique d'IBAN;Virement - Nombre d'echec de scan automatique d'IBAN (event137);event.event_name;
event138;Nombre de succes de scan automatique d'IBAN;Virement - Nombre de succes de scan automatique d'IBAN (event138);event.event_name;
event351;Augmentation de plafond virement (event351);Virement - Augmentation de plafond virement (event351);event.event_name;
event352;Intervention conseiller necessaire (event352);Virement - Intervention conseiller necessaire plafond virement (event352);event.event_name;
event54;Compteur virement;Virement - Nombre de jeton de retrait (event54);event.event_name;
event56;Montant du virement (event56);Virement - Montant du virement (event56);event.event_name;
event59;;;event.event_name;
event119;Nombre d'ajout de bénéficiaire;Ajout bénéficiaire - Nombre d'ajout de bénéficiaire (event119);event.event_name;
event136;Nombre de modification de beneficiaires;Ajout bénéficiaire - Nombre de modification de beneficiaires (event136);event.event_name;
event151;Nombre de suppression de beneficiaires;Ajout bénéficiaire - Nombre de suppression de beneficiaires (event151);event.event_name;
event362;VOP modif beneficiaire réussie (event362);VOP - modif beneficiaire réussie (event362);event.event_name;
evar155;Statut activation service wero;Statut activation service wero (evar155);ConfirmationDes;
event113;Paylib Confirmation Suppression des donnees ;Paylib Confirmation Suppression des donnees  (event113);event.event_name;
event139;Nombre d'enrolement wero;Nombre d'enrolement wero (event139);event.event_name;
event140;Nombre de desactivation wero;Nombre de desactivation wero (event140);event.event_name;
event152;Nombre d'autorisation d'accès au contacts pour paylib;Nombre d'autorisation d'accès au contacts pour paylib (event152);event.event_name;
